condition,runs,id_accuracy_mean,id_accuracy_std,ood_accuracy_mean,ood_accuracy_std,id_cross_entropy_mean,id_cross_entropy_std,ood_cross_entropy_mean,ood_cross_entropy_std,train_seconds_mean,train_seconds_std
labels,1,0.3645,0.0,0.042,0.0,2.266827423095703,0.0,3.559952606201172,0.0,1.0882625999802258,0.0
logits,1,0.352,0.0,0.0525,0.0,2.3197916259765625,0.0,3.772905303955078,0.0,1.147028200008208,0.0
relational,1,0.3775,0.0,0.0585,0.0,2.259328582763672,0.0,3.7544072875976564,0.0,1.553097699972568,0.0
shuffled,1,0.3965,0.0,0.0475,0.0,2.196736053466797,0.0,3.7464539794921876,0.0,1.5217823999992106,0.0
