condition_id,model_type,condition,stored_parameters,active_parameters_per_step,runs,id_accuracy_mean,id_accuracy_std,evaluation_accuracy_mean,evaluation_accuracy_std,train_seconds_mean,train_seconds_std,peak_gpu_memory_bytes_mean,peak_gpu_memory_bytes_std
relational-w0.1,transformer,relational,1082927,1082927,3,0.6268,0.004853864439804628,0.17333333333333334,0.01011203902946054,37.79003579999941,0.09304992472088451,145404416.0,0.0
relational-w0.3,transformer,relational,1082927,1082927,3,0.6350666666666667,0.0077105987662004945,0.17746666666666666,0.019428158258912066,37.800490399997216,0.14326415625040287,145404416.0,0.0
relational-w1.0,transformer,relational,1082927,1082927,3,0.6622666666666667,0.00845064100132844,0.24286666666666668,0.01178869514973279,37.86863406668029,0.1550107278636334,145404416.0,0.0
relational-w3.0,transformer,relational,1082927,1082927,3,0.6767333333333333,0.009187672900867404,0.26206666666666667,0.012955822371942805,37.82413876666882,0.07280287831174226,145404416.0,0.0
transformer-logits,transformer,logits,1082927,1082927,3,0.6128,0.002645751311064593,0.12886666666666666,0.005558177159225253,30.999713300009414,0.2452297384504983,145930752.0,0.0
