condition_id,model_type,condition,stored_parameters,active_parameters_per_step,runs,id_accuracy_mean,id_accuracy_std,evaluation_accuracy_mean,evaluation_accuracy_std,train_seconds_mean,train_seconds_std,peak_gpu_memory_bytes_mean,peak_gpu_memory_bytes_std
gru-labels,gru,labels,9647,6336,10,0.51307,0.011296317000588203,0.09442999999999999,0.0087881296202447,33.43231398999633,1.8391267035106615,57508352.0,0.0
table-labels,transition_table,labels,17672,2209,10,1.0,0.0,1.0,0.0,1.7498438799957512,0.2409415409964757,65867264.0,0.0
transformer-labels,transformer,labels,1082927,1082927,10,0.60845,0.0051644618951703775,0.09989,0.02643244849296662,29.785062940005446,5.733111712933868,145882624.0,0.0
transformer-logits,transformer,logits,1082927,1082927,10,0.6177,0.0053030389610319,0.11298000000000001,0.01818105240811617,34.65619854999532,4.106317077470955,145930752.0,0.0
transformer-random,transformer,random,1082927,1082927,10,0.5957000000000001,0.001736535503684138,0.03932,0.0038438406719206123,42.84048707000038,1.293454499263012,145404416.0,0.0
transformer-relational,transformer,relational,1082927,1082927,10,0.68548,0.008344366030109433,0.23309000000000002,0.0201640191099559,42.45036333999887,1.3703220640643563,145404416.0,0.0
transformer-shuffled,transformer,shuffled,1082927,1082927,10,0.60023,0.0033159714514251547,0.06649,0.014498003693995638,42.909813530000974,1.4686642289946994,145404416.0,0.0
transformer-untrained,transformer,untrained,1082927,1082927,10,0.60524,0.003578391941765026,0.08342,0.015908125107769438,42.218118680003684,0.7139419515218824,145404416.0,0.0
