condition_id,model_type,condition,stored_parameters,active_parameters_per_step,runs,id_accuracy_mean,id_accuracy_std,evaluation_accuracy_mean,evaluation_accuracy_std,train_seconds_mean,train_seconds_std,peak_gpu_memory_bytes_mean,peak_gpu_memory_bytes_std
gru-labels,gru,labels,10752,6336,5,0.7587399999999999,0.027038084251662507,0.45232,0.032910135216981405,36.87683378000511,1.2119583283587472,57609728.0,0.0
table-labels,transition_table,labels,32768,4096,5,1.0,0.0,1.0,0.0,2.2854816399980336,0.1065080432829147,74410496.0,0.0
transformer-labels,transformer,labels,1091648,1091648,5,0.59886,0.008794771173828236,0.1008,0.020626802951499774,39.499364040012004,1.7312301515605815,146091520.0,0.0
transformer-logits,transformer,logits,1091648,1091648,5,0.62178,0.008353861382618207,0.1311,0.02262752748313435,41.454959359997886,1.972057448942417,146157056.0,0.0
transformer-random,transformer,random,1091648,1091648,5,0.57352,0.004233438318908171,0.04028,0.010771582984872744,43.84305910001276,0.8623227821548685,145630720.0,0.0
transformer-relational,transformer,relational,1091648,1091648,5,0.75454,0.006511374662849615,0.29444,0.0098230850551138,43.68859825999825,0.8114201629945923,145630720.0,0.0
transformer-shuffled,transformer,shuffled,1091648,1091648,5,0.59024,0.0026632686683847563,0.08379999999999999,0.009920937455704477,43.56203884000424,0.7485019732554838,145630720.0,0.0
transformer-untrained,transformer,untrained,1091648,1091648,5,0.64384,0.011386088002470388,0.16960000000000003,0.03139968152704737,43.283535579999445,0.6409250555327378,145630720.0,0.0
